id;  word;pos;translate
157;   student;n;mahasiswa
158;   why;r;mengapa
159;   let;v;membiarkan
160;   great;j;besar
161;   same;d;sama
162;   big;j;besar
163;   group;n;kelompok
164;   begin;v;memulai
165;   seem;v;terlihat
166;   country;n;negara
167;   help;v;membantu
168;   talk;v;berbicara
169;   where;c;dimana
170;   turn;v;belok
171;   problem;n;masalah
172;   every;a;setiap
173;   start;v;memulai
174;   hand;n;tangan
175;   might;v;mungkin
176;   american;j;orang amerika
177;   show;v;menunjukkan
178;   part;n;bagian
179;   about;r;tentang
180;   against;i;melawan
181;   place;n;tempat
182;   over;r;lebih
183;   such;d;seperti itu
184;   again;r;lagi
185;   few;d;beberapa
186;   case;n;kasus
187;   most;d;sebagian besar
188;   week;n;minggu
189;   company;n;perusahaan
190;   where;r;di mana
191;   system;n;sistem
192;   each;d;tiap
193;   right;r;tepat
194;   program;n;program
195;   hear;v;mendengar
196;   so;c;begitu
197;   question;n;pertanyaan
198;   during;i;selama
199;   work;n;kerja
200;   play;v;bermain
201;   government;n;pemerintah
202;   run;v;lari
203;   small;j;kecil
204;   number;n;angka
205;   off;r;keluar
206;   always;r;selalu
207;   move;v;pindah
208;   like;v;menyukai
209;   night;n;malam
210;   live;v;hidup
211;   Mr;n;Bapak
212;   point;n;titik
213;   believe;v;percaya
214;   hold;v;memegang
215;   today;r;hari ini
216;   bring;v;membawa
217;   happen;v;terjadi
218;   next;m;berikutnya
219;   without;i;tanpa
220;   before;i;sebelum
221;   large;j;besar
222;   all;r;semua
223;   million;m;juta
224;   must;v;harus
225;   home;n;rumah
226;   under;i;di bawah
227;   water;n;air
228;   room;n;kamar
229;   write;v;menulis
230;   mother;n;ibu
231;   area;n;daerah
232;   national;j;nasional
233;   money;n;uang
234;   story;n;cerita
235;   young;j;muda
236;   fact;n;fakta
237;   month;n;bulan
238;   different;j;berbeda
239;   lot;n;sekumpulan
240;   right;n;hak
241;   study;n;belajar
242;   book;n;buku
243;   eye;n;mata
244;   job;n;pekerjaan
245;   word;n;kata
246;   though;c;meskipun
247;   business;n;bisnis
248;   issue;n;isu
249;   side;n;sisi
250;   kind;n;jenis
251;   four;m;empat
252;   head;n;kepala
253;   far;r;jauh
254;   black;j;hitam
255;   long;j;panjang
256;   both;d;keduanya
257;   little;j;sedikit
258;   house;n;rumah
259;   yes;u;iya nih
260;   after;c;setelah
261;   since;c;sejak
262;   long;r;panjang
263;   provide;v;menyediakan
264;   service;n;layanan
265;   around;i;sekitar
266;   friend;n;teman
267;   important;j;penting
268;   father;n;ayah
269;   sit;v;duduk
270;   away;r;jauh
271;   until;c;sampai
272;   power;n;kekuasaan
273;   hour;n;jam
274;   game;n;permainan
275;   often;r;sering
276;   yet;r;masih
277;   line;n;garis
278;   political;j;politik
279;   end;n;akhir
280;   among;i;antara
281;   ever;r;pernah
282;   stand;v;berdiri
283;   bad;j;buruk
284;   lose;v;kalah
285;   however;r;namun
286;   member;n;anggota
287;   pay;v;membayar
288;   law;n;hukum
289;   meet;v;memenuhi
290;   car;n;mobil
291;   city;n;kota
292;   almost;r;hampir
293;   include;v;termasuk
294;   continue;v;meneruskan
295;   set;v;menyusun
296;   later;r;kemudian
297;   community;n;masyarakat
298;   much;r;banyak
299;   name;n;nama
300;   five;m;lima
301;   once;r;sekali
302;   white;j;putih
303;   least;r;paling sedikit
304;   president;n;presiden
305;   learn;v;belajar
306;   real;j;nyata
307;   change;v;mengubah
308;   team;n;tim
309;   minute;n;menit
310;   best;j;terbaik
311;   several;d;beberapa
312;   idea;n;ide
313;   kid;n;anak
314;   body;n;tubuh
315;   information;n;informasi
316;   nothing;p;tidak ada
317;   ago;r;yang lalu
318;   right;j;kanan
319;   lead;v;memimpin
320;   social;j;sosial
321;   understand;v;memahami
322;   whether;c;apakah
323;   back;n;kembali
324;   watch;v;menonton
325;   together;r;bersama
326;   follow;v;mengikuti
327;   around;r;sekitar
328;   parent;n;induk
329;   only;j;hanya
330;   stop;v;berhenti
331;   face;n;muka
332;   anything;p;apa pun
333;   create;v;membuat
334;   public;j;umum
335;   already;r;sudah
336;   speak;v;berbicara
337;   others;n;lainnya
338;   read;v;membaca
339;   level;n;tingkat
340;   allow;v;mengizinkan
341;   add;v;menambahkan
342;   office;n;kantor
343;   spend;v;menghabiskan
344;   door;n;pintu
345;   health;n;kesehatan
346;   person;n;orang
347;   art;n;seni
348;   sure;j;yakin
349;   such;i;seperti itu
350;   war;n;perang
351;   history;n;sejarah
352;   party;n;pesta
353;   within;i;dalam
354;   grow;v;tumbuh
355;   result;n;hasil
356;   open;v;membuka
357;   change;n;perubahan
358;   morning;n;pagi
359;   walk;v;berjalan
360;   reason;n;alasan
361;   low;j;rendah
362;   win;v;menang
363;   research;n;penelitian
364;   girl;n;gadis
365;   guy;n;pria
366;   early;j;awal
367;   food;n;makanan
368;   before;c;sebelum
369;   moment;n;saat
370;   himself;p;dirinya sendiri (dirinya)
371;   air;n;udara
372;   teacher;n;guru
373;   force;n;kekuatan
374;   offer;v;menawarkan
375;   enough;r;cukup
376;   both;r;keduanya
377;   education;n;pendidikan
378;   across;i;di sebrang
379;   although;c;meskipun
380;   remember;v;ingat
381;   foot;n;kaki
382;   second;m;kedua
383;   boy;n;anak laki-laki
384;   maybe;r;mungkin
385;   toward;i;menuju
386;   able;j;sanggup
387;   age;n;usia
388;   off;i;keluar
389;   policy;n;kebijakan
390;   everything;p;segala sesuatu
391;   love;v;mencintai
392;   process;n;proses
393;   music;n;musik
394;   including;i;termasuk
395;   consider;v;mempertimbangkan
396;   appear;v;muncul
397;   actually;r;sebenarnya
398;   buy;v;membeli
399;   probably;r;mungkin
400;   human;j;manusiawi
401;   wait;v;tunggu
402;   serve;v;melayani
403;   market;n;pasar
404;   die;v;mati
405;   send;v;kirim
406;   expect;v;mengharapkan
407;   home;r;ke/di rumah
408;   sense;n;rasa
409;   build;v;membangun
410;   stay;v;tinggal
411;   fall;v;jatuh
412;   oh;u;oh
413;   nation;n;bangsa
414;   plan;n;rencana
415;   cut;v;memotong
416;   college;n;perguruan tinggi
417;   interest;n;kepentingan
418;   death;n;kematian
419;   course;r;tentu saja
420;   someone;p;seseorang
421;   experience;n;pengalaman
422;   behind;i;di belakang
423;   reach;v;mencapai
424;   local;j;setempat
425;   kill;v;membunuh
426;   six;m;enam
427;   remain;v;tersisa
428;   effect;n;efek
429;   use;n;penggunaan
430;   yeah;u;ya
431;   suggest;v;menyarankan
432;   class;n;kelas
433;   control;n;pengendalian
434;   raise;v;menaikkan
435;   care;n;perawatan
436;   perhaps;r;mungkin
437;   little;r;sedikit
438;   late;j;terlambat
439;   hard;j;keras
440;   field;n;bidang
441;   else;r;lain
442;   pass;v;melalui
443;   former;d;bekas
444;   sell;v;menjual
445;   major;j;utama
446;   sometimes;r;terkadang
447;   require;v;memerlukan
448;   along;i;sepanjang
449;   development;n;pengembangan
450;   themselves;p;mereka sendiri
451;   report;v;melaporkan
452;   role;n;peran
453;   better;j;lebih baik
454;   economic;j;ekonomis
455;   effort;n;upaya
456;   up;i;naik
457;   decide;v;memutuskan
458;   rate;n;laju
459;   strong;j;kuat
460;   possible;j;mungkin
461;   heart;n;jantung
462;   drug;n;obat
463;   show;n;pertunjukan
464;   leader;n;pemimpin
465;   light;n;cahaya
466;   voice;n;suara
467;   wife;n;istri
468;   whole;j;seluruh
469;   police;n;polisi
470;   mind;n;pikiran
471;   finally;r;akhirnya
472;   pull;v;menarik
473;   return;v;kembali
474;   free;j;bebas
475;   military;j;kemiliteran
476;   price;n;harga
477;   report;n;laporan
478;   less;r;kurang
479;   according;i;mengacu
480;   decision;n;keputusan
481;   explain;v;menjelaskan
482;   son;n;putra
483;   hope;v;berharap
484;   even;c;bahkan
485;   develop;v;mengembangkan
486;   view;n;pemandangan
487;   relationship;n;hubungan
488;   carry;v;memuat
489;   town;n;kota
490;   road;n;jalan
491;   drive;v;mengendarai
492;   arm;n;lengan
493;   true;j;benar
494;   federal;j;federal
495;   break;v;beristirahat
496;   better;r;lebih baik
497;   difference;n;perbedaan
498;   thank;v;berterima kasih
499;   receive;v;menerima
500;   value;n;nilai
501;   international;j;internasional
502;   building;n;bangunan
503;   action;n;tindakan
504;   full;j;penuh
505;   model;n;model
506;   join;v;ikut
507;   season;n;musim
508;   society;n;masyarakat
509;   because;i;karena
510;   tax;n;pajak
511;   director;n;direktur
512;   early;r;lebih awal (dari biasanya)
513;   position;n;posisi
514;   player;n;pemain
515;   agree;v;setuju
516;   especially;r;terutama
517;   record;n;catatan
518;   pick;v;memetik
519;   wear;v;memakai
520;   paper;n;kertas
521;   special;j;khusus
522;   space;n;ruang
523;   ground;n;tanah
524;   form;n;bentuk
525;   support;v;mendukung
526;   event;n;peristiwa
527;   official;n;pejabat
528;   whose;d;yang
529;   matter;n;masalah
530;   everyone;p;semua orang
531;   center;n;pusat
532;   couple;n;pasangan
533;   site;n;situs
534;   end;v;mengakhiri
535;   project;n;proyek
536;   hit;v;memukul
537;   base;v;mendasarkan
538;   activity;n;aktivitas
539;   star;n;bintang
540;   table;n;meja
541;   need;n;kebutuhan
542;   court;n;pengadilan
543;   produce;v;menghasilkan
544;   eat;v;makan
545;   American;n;orang amerika
546;   teach;v;mengajar
547;   oil;n;minyak
548;   half;d;setengah
549;   situation;n;situasi
550;   easy;j;mudah
551;   cost;n;biaya
552;   industry;n;industri
553;   figure;n;angka
554;   face;v;menghadapi
555;   street;n;jalan
556;   image;n;gambar
557;   itself;p;itu sendiri
558;   phone;n;telepon
559;   either;r;antara
560;   data;n;data
561;   cover;v;menutup
562;   quite;r;cukup
563;   picture;n;gambar
564;   clear;j;bersih
565;   practice;n;latihan
566;   piece;n;bagian
567;   land;n;lahan
568;   recent;j;baru
569;   describe;v;menggambarkan
570;   product;n;produk
571;   doctor;n;dokter
572;   wall;n;dinding
573;   patient;n;pasien
574;   worker;n;pekerja
575;   news;n;berita
576;   test;n;ujian
577;   movie;n;film
578;   certain;j;tertentu
579;   north;n;utara
580;   love;n;cinta
581;   personal;j;perorangan
582;   open;j;terbuka
583;   support;n;dukungan
584;   simply;r;secara sederhana
585;   third;m;ketiga
586;   technology;n;teknologi
587;   catch;v;menangkap
588;   step;n;langkah
589;   baby;n;bayi
590;   computer;n;komputer
591;   type;n;tipe
592;   attention;n;perhatian
593;   draw;v;menggambar
594;   film;n;film
595;   Republican;n;republik
596;   tree;n;pohon
597;   source;n;sumber
598;   red;j;merah
599;   nearly;r;hampir
600;   organization;n;organisasi
601;   choose;v;memilih
602;   cause;v;menyebabkan
603;   hair;n;rambut
604;   look;n;pandangan
605;   point;v;menunjuk
606;   century;n;abad
607;   evidence;n;bukti
608;   window;n;jendela
609;   difficult;j;sulit
610;   listen;v;mendengarkan
611;   soon;r;segera
612;   culture;n;budaya
613;   billion;m;milyar
614;   chance;n;kesempatan
615;   brother;n;saudara
616;   energy;n;energi
617;   period;n;periode
618;   course;n;mata kuliah
619;   summer;n;musim panas
620;   less;d;kurang
621;   realize;v;menyadari
622;   hundred;m;ratus
623;   available;j;tersedia
624;   plant;n;tanaman
625;   likely;j;mungkin
626;   opportunity;n;kesempatan
627;   term;n;istilah
628;   short;j;pendek
629;   letter;n;surat
630;   condition;n;kondisi
631;   choice;n;pilihan
632;   place;v;menempatkan
633;   single;j;tunggal
634;   rule;n;aturan
635;   daughter;n;putri
636;   administration;n;administrasi
637;   south;n;selatan
638;   husband;n;suami
639;   congress;n;kongres
640;   floor;n;lantai
641;   campaign;n;kampanye
642;   material;n;bahan
643;   population;n;populasi
644;   well;i;baik
645;   call;n;panggilan
646;   economy;n;ekonomi
647;   medical;j;medis
648;   hospital;n;rumah sakit
649;   church;n;gereja
650;   close;v;menutup
651;   thousand;m;ribu
652;   risk;n;risiko
653;   current;j;sekarang ini
654;   fire;n;api
655;   future;n;masa depan
656;   wrong;j;salah
657;   involve;v;melibatkan
658;   defense;n;pertahanan
659;   anyone;p;siapa saja
660;   increase;v;meningkat
661;   security;n;keamanan
662;   bank;n;bank
663;   myself;p;saya sendiri
664;   certainly;r;pasti
665;   west;n;barat
666;   sport;n;olahraga
667;   board;n;papan
668;   seek;v;mencari
669;   per;i;per
670;   subject;n;subyek
671;   officer;n;petugas
672;   private;j;pribadi
673;   rest;n;sisa
674;   behavior;n;tingkah laku
675;   deal;v;berurusan
676;   performance;n;kinerja
677;   fight;v;bertarung
678;   throw;v;melemparkan
679;   top;n;puncak
680;   quickly;r;segera
681;   past;j;yang lalu
682;   goal;n;tujuan
683;   second;n;detik
684;   bed;n;tempat tidur
685;   order;n;pesanan
686;   author;n;penulis
687;   fill;v;mengisi
688;   represent;v;mewakili
689;   focus;v;memusatkan
690;   foreign;j;asing
691;   drop;v;menurunkan
692;   plan;v;merencanakan
693;   blood;n;darah
694;   upon;i;di atas
695;   agency;n;agen
696;   push;v;mendorong
697;   nature;n;alam
698;   color;n;warna
699;   no;r;tidak
700;   recently;r;baru saja
701;   store;n;toko
702;   reduce;v;mengurangi
703;   sound;n;suara
704;   note;v;mencatat
705;   fine;j;baik
706;   before;r;sebelum
707;   near;i;dekat
708;   movement;n;pergerakan
709;   page;n;halaman
710;   enter;v;memasukkan
711;   share;v;membagikan
712;   than;i;dari
713;   common;j;umum
714;   poor;j;miskin
715;   other;p;lainnya
716;   natural;j;alam
717;   race;n;ras
718;   concern;n;perhatian
719;   series;n;seri
720;   significant;j;penting
721;   similar;j;serupa
722;   hot;j;panas
723;   language;n;bahasa
724;   each;p;setiap
725;   usually;r;biasanya
726;   response;n;tanggapan
727;   dead;j;mati
728;   rise;v;naik
729;   animal;n;hewan
730;   factor;n;faktor
731;   decade;n;dasawarsa
732;   article;n;artikel
733;   shoot;v;menembak
734;   east;n;timur
735;   save;v;menyimpan
736;   seven;m;tujuh
737;   artist;n;artis
738;   away;i;jauh
739;   scene;n;adegan
740;   stock;n;persediaan
741;   career;n;karier
742;   despite;i;meskipun
743;   central;j;pusat
744;   eight;m;delapan
745;   thus;r;demikian
746;   treatment;n;perlakuan
747;   beyond;i;melampaui
748;   happy;j;senang
749;   exactly;r;persis
750;   protect;v;melindungi
751;   approach;n;pendekatan
752;   lie;v;berbohong
753;   size;n;ukuran
754;   dog;n;anjing
755;   fund;n;dana
756;   serious;j;serius
757;   occur;v;terjadi
758;   media;n;media
759;   ready;j;siap
760;   sign;n;tanda
761;   thought;n;pikiran
762;   list;n;daftar
763;   individual;n;individu
764;   simple;j;sederhana
765;   quality;n;kualitas
766;   pressure;n;tekanan
767;   accept;v;menerima
768;   answer;n;jawaban
769;   hard;r;dengan susah
770;   resource;n;sumber
771;   identify;v;mengenali
772;   left;j;kiri
773;   meeting;n;pertemuan
774;   determine;v;menentukan
775;   prepare;v;mempersiapkan
776;   disease;n;penyakit
777;   whatever;d;apa pun
778;   success;n;keberhasilan
779;   argue;v;memperdebatkan
780;   cup;n;cangkir
781;   particularly;r;terutama
782;   amount;n;jumlah
783;   ability;n;kemampuan
784;   staff;n;staf
785;   recognize;v;mengakui
786;   indicate;v;menandakan
787;   character;n;karakter
788;   growth;n;pertumbuhan
789;   loss;n;kerugian
790;   degree;n;gelar
791;   wonder;v;bertanya-tanya
792;   attack;n;serangan
793;   herself;p;dirinya sendiri (dirinya)
794;   region;n;wilayah
795;   television;n;televisi
796;   box;n;kotak
797;   TV;n;televisi
798;   training;n;latihan
799;   pretty;r;cantik
800;   trade;n;perdagangan
801;   deal;n;perjanjian
802;   election;n;pemilihan
803;   everybody;p;semua orang
804;   physical;j;fisik
805;   lay;v;meletakkan
806;   general;j;umum
807;   feeling;n;perasaan
808;   standard;n;standar
809;   bill;n;tagihan
810;   message;n;pesan
811;   fail;v;gagal
812;   outside;i;di luar
813;   arrive;v;tiba
814;   analysis;n;analisis
815;   benefit;n;manfaat
816;   name;v;menamai
817;   sex;n;seks
818;   forward;r;meneruskan
819;   lawyer;n;pengacara
820;   present;v;menyajikan
821;   section;n;bagian
822;   environmental;j;lingkungan
823;   glass;n;kaca
824;   answer;v;menjawab
825;   skill;n;ketrampilan
826;   sister;n;saudara
827;   PM;r;antara jam 12.00 sd 24.00
828;   professor;n;profesor
829;   operation;n;operasi
830;   financial;j;keuangan
831;   crime;n;kejahatan
832;   stage;n;tahap
833;   ok;r;baik
834;   compare;v;membandingkan
835;   authority;n;wewenang
836;   miss;v;merindukan
837;   design;n;desain
838;   sort;n;jenis
839;   one;n;satu
840;   act;v;bertindak
841;   ten;m;sepuluh
842;   knowledge;n;pengetahuan
843;   gun;n;senjata
844;   station;n;stasiun
845;   blue;j;biru
846;   state;v;menyatakan
847;   strategy;n;strategi
848;   little;d;sedikit
849;   clearly;r;jelas
850;   discuss;v;membahas
851;   indeed;r;memang
852;   force;v;memaksa
853;   truth;n;kebenaran
854;   song;n;lagu
855;   example;n;contoh
856;   democratic;j;demokratis
857;   check;v;memeriksa
858;   environment;n;lingkungan
859;   leg;n;kaki
860;   dark;j;gelap
861;   public;n;publik
862;   various;j;berbagai
863;   rather;r;agak
864;   laugh;v;tertawa
865;   guess;v;menebak
866;   executive;n;eksekutif
867;   set;n;set
868;   study;v;belajar
869;   prove;v;membuktikan
870;   hang;v;menggantung
871;   entire;j;seluruh
872;   rock;n;batu
873;   design;v;merencanakan
874;   enough;d;cukup
875;   forget;v;lupa
876;   since;i;sejak
877;   claim;v;menyatakan
878;   note;n;catatan
879;   remove;v;memindahkan
880;   manager;n;manajer
881;   help;n;membantu
882;   close;j;dekat
883;   sound;v;berbunyi
884;   enjoy;v;menikmati
885;   network;n;jaringan
886;   legal;j;sah
887;   religious;j;beriman
888;   cold;j;dingin
889;   form;v;membentuk
890;   final;j;terakhir
891;   main;j;utama
892;   science;n;ilmu pengetahuan
893;   green;j;hijau
894;   memory;n;ingatan
895;   card;n;kartu
896;   above;i;atas
897;   seat;n;kursi
898;   cell;n;sel
899;   establish;v;mendirikan
900;   nice;j;bagus
901;   trial;n;percobaan
902;   expert;n;ahli
903;   that;r;bahwa
904;   spring;n;musim semi
905;   firm;n;perusahaan
906;   Democrat;n;demokrat
907;   radio;n;radio
908;   visit;v;mengunjungi
909;   management;n;pengelolaan
910;   care;v;peduli
911;   avoid;v;menghindari
912;   imagine;v;membayangkan
913;   tonight;r;malam ini
914;   huge;j;besar
915;   ball;n;bola
916;   no;u;tidak
917;   close;r;dekat
918;   finish;v;selesai
919;   yourself;p;dirimu sendiri
920;   talk;n;percakapan
921;   theory;n;teori
922;   impact;n;dampak
923;   respond;v;menanggapi
924;   statement;n;pernyataan
925;   maintain;v;mempertahankan
926;   charge;n;biaya
927;   popular;j;populer
928;   traditional;j;tradisional
929;   onto;i;ke
930;   reveal;v;mengungkapkan
931;   direction;n;arah
932;   weapon;n;senjata
933;   employee;n;karyawan
934;   cultural;j;kultural
935;   contain;v;berisi
936;   peace;n;perdamaian
937;   head;v;kepala
938;   control;v;mengendalikan
939;   base;n;basis
940;   pain;n;rasa sakit
941;   apply;v;menerapkan
942;   play;n;bermain
943;   measure;n;ukuran
944;   wide;j;lebar
945;   shake;v;menggoyang
946;   fly;v;terbang
947;   interview;n;wawancara
948;   manage;v;mengelola
949;   chair;n;kursi
950;   fish;n;ikan
951;   particular;j;tertentu
952;   camera;n;kamera
953;   structure;n;struktur
954;   politics;n;politik
955;   perform;v;mempersembahkan
956;   bit;n;satuan kecil
957;   weight;n;berat
958;   suddenly;r;mendadak
959;   discover;v;menemukan
960;   candidate;n;calon
961;   top;j;puncak
962;   production;n;produksi
963;   treat;v;memperlakukan
964;   trip;n;perjalanan
965;   evening;n;malam
966;   affect;v;mempengaruhi
967;   inside;i;di dalam
968;   conference;n;konferensi
969;   unit;n;satuan
970;   best;r;terbaik
971;   style;n;gaya
972;   adult;n;dewasa
973;   worry;v;khawatir
974;   range;n;jarak
975;   mention;v;menyebut
976;   rather;i;agak
977;   far;j;jauh
978;   deep;j;dalam
979;   past;n;masa lampau
980;   edge;n;tepi
981;   individual;j;perorangan
982;   specific;j;spesifik
983;   writer;n;penulis
984;   trouble;n;kesulitan
985;   necessary;j;perlu
986;   throughout;i;sepanjang
987;   challenge;n;tantangan
988;   fear;n;rasa takut
989;   shoulder;n;bahu
990;   institution;n;lembaga
991;   middle;j;tengah
992;   sea;n;laut
993;   dream;n;mimpi
994;   bar;n;bar
995;   beautiful;j;indah
996;   property;n;harta benda
997;   instead;r;sebagai gantinya
998;   improve;v;memperbarui
999;   stuff;n;barang
1000;   detail;n;detail
1001;   method;n;metode
1002;   sign;v;menandatangani
1003;   somebody;p;seseorang
1004;   magazine;n;majalah
1005;   hotel;n;hotel
1006;   soldier;n;tentara
1007;   reflect;v;mencerminkan
1008;   heavy;j;berat
1009;   sexual;j;seksual
1010;   cause;n;penyebab
1011;   bag;n;tas
1012;   heat;n;panas
1013;   fall;n;musim gugur
1014;   marriage;n;pernikahan
1015;   tough;j;sulit
1016;   sing;v;bernyanyi
1017;   surface;n;permukaan
1018;   purpose;n;tujuan
1019;   exist;v;ada
1020;   pattern;n;pola
1021;   whom;p;siapa
1022;   skin;n;kulit
1023;   agent;n;agen
1024;   owner;n;pemilik
1025;   machine;n;mesin
1026;   gas;n;gas
1027;   down;i;ke bawah
1028;   ahead;r;di depan (duluan)
1029;   generation;n;generasi
1030;   commercial;j;komersial
1031;   address;v;mengalamatkan
1032;   cancer;n;kanker
1033;   test;v;uji
1034;   item;n;barang
1035;   reality;n;realitas
1036;   coach;n;pelatih
1037;   step;v;melangkah
1038;   Mrs;n;Nyonya
1039;   yard;n;halaman
1040;   beat;v;memukul
1041;   violence;n;kekerasan
1042;   total;j;total
1043;   tend;v;cenderung
1044;   investment;n;investasi
1045;   discussion;n;diskusi
1046;   finger;n;jari
1047;   garden;n;taman
1048;   notice;v;memperhatikan
1049;   collection;n;koleksi
1050;   modern;j;modern
1051;   task;n;tugas
1052;   partner;n;pasangan
1053;   positive;j;positif
1054;   civil;j;sipil
1055;   kitchen;n;dapur
1056;   consumer;n;konsumen
1057;   shot;n;tembakan
1058;   budget;n;anggaran
1059;   wish;v;menginginkan
1060;   painting;n;lukisan
1061;   scientist;n;ilmuwan
1062;   safe;j;aman
1063;   agreement;n;persetujuan
1064;   capital;n;modal
1065;   mouth;n;mulut
1066;   nor;c;maupun
1067;   victim;n;korban
1068;   newspaper;n;koran
1069;   instead;i;sebagai gantinya
1070;   threat;n;ancaman
1071;   responsibility;n;tanggung jawab
1072;   smile;v;tersenyum
1073;   attorney;n;pengacara
1074;   score;n;skor
1075;   account;n;rekening
1076;   interesting;j;menarik
1077;   break;n;istirahat
1078;   audience;n;hadirin
1079;   rich;j;kaya
1080;   dinner;n;makan malam
1081;   figure;v;menggambarkan
1082;   vote;n;hak pilih
1083;   western;j;barat
1084;   relate;v;menghubungkan
1085;   travel;v;berpergian
1086;   debate;n;perdebatan
1087;   prevent;v;mencegah
1088;   citizen;n;warganegara
1089;   majority;n;mayoritas
1090;   none;p;tidak ada
1091;   front;i;depan
1092;   born;v;lahir
1093;   admit;v;mengakui
1094;   senior;j;senior
1095;   assume;v;menganggap
1096;   wind;n;angin
1097;   key;j;kunci
1098;   professional;j;profesional
1099;   mission;n;misi
1100;   fast;r;dengan cepat
1101;   alone;r;sendirian
1102;   customer;n;pelanggan
1103;   suffer;v;menderita
1104;   speech;n;pidato
1105;   successful;j;sukses
1106;   option;n;pilihan
1107;   participant;n;peserta
1108;   southern;j;arah selatan
1109;   fresh;j;segar
1110;   eventually;r;akhirnya
1111;   no;p;tidak
1112;   forest;n;hutan
1113;   video;n;video
1114;   global;j;global
1115;   Senate;n;Senat
1116;   reform;n;pembaruan
1117;   access;n;akses
1118;   restaurant;n;restoran
1119;   judge;n;hakim
1120;   publish;v;menerbitkan
1121;   cost;v;berharga
1122;   relation;n;hubungan
1123;   like;c;seperti
1124;   release;v;melepaskan
1125;   own;v;memiliki
1126;   bird;n;burung
1127;   opinion;n;pendapat
1128;   credit;n;kredit
1129;   critical;j;kritis
1130;   corner;n;sudut
1131;   concerned;j;prihatin
1132;   recall;v;menarik kembali
1133;   version;n;versi
